logical_name,display_name,type,required,is_custom,usage,bu_usage,comment
leadid,Lead ID,guid,yes,no,8,,
firstname,First Name,string,no,no,6,,
lastname,Last Name,string,yes,no,8,,
emailaddress1,Email,string,no,no,7,,
telephone1,Phone,string,no,no,5,,
companyname,Company,string,yes,no,8,,
subject,Topic,string,yes,no,8,,
leadqualitycode,Rating,picklist,no,no,4,,
leadsourcecode,Lead Source,picklist,no,no,5,,
estimatedvalue,Est. Revenue,decimal,no,no,2,,
estimatedclosedate,Est. Close Date,date,no,no,2,,
ownerid,Owner,guid,yes,no,8,,
statecode,Status,picklist,yes,no,8,,
