logical_name,display_name,type,required,is_custom,usage,bu_usage,comment
quoteid,Quote ID,guid,yes,no,8,,
name,Name,string,yes,no,8,,
quotenumber,Quote Number,string,yes,no,8,,
opportunityid,Opportunity,guid,no,no,7,,
accountid,Account,guid,no,no,7,,
totallineitemamount,Total Detail Amount,decimal,no,no,5,,
discountamount,Quote Discount,decimal,no,no,3,,
freightamount,Freight Amount,decimal,no,no,2,,
totaltax,Total Tax,decimal,no,no,3,,
totalamount,Total Amount,decimal,no,no,7,,
effectivefrom,Effective From,date,no,no,4,,
effectiveto,Effective To,date,no,no,4,,
ownerid,Owner,guid,yes,no,8,,
statecode,Status,picklist,yes,no,8,,
