logical_name,display_name,type,required,is_custom,usage,bu_usage,comment
salesorderid,Order ID,guid,yes,no,8,,
name,Name,string,yes,no,8,,
ordernumber,Order Number,string,yes,no,8,,
quoteid,Quote,guid,no,no,5,,
accountid,Account,guid,no,no,7,,
totallineitemamount,Total Detail Amount,decimal,no,no,4,,
discountamount,Order Discount,decimal,no,no,3,,
freightamount,Freight Amount,decimal,no,no,2,,
totaltax,Total Tax,decimal,no,no,3,,
totalamount,Total Amount,decimal,no,no,7,,
submitdate,Date Submitted,date,no,no,5,,
fulfilledon,Date Fulfilled,date,no,no,3,,
ownerid,Owner,guid,yes,no,8,,
statecode,Status,picklist,yes,no,8,,
