api_name,label,type,required,is_custom,usage,bu_usage,comment
Id,Account ID,id,yes,no,10,,
Name,Account Name,string,yes,no,12,,
Phone,Phone,phone,no,no,8,,
Website,Website,url,no,no,3,,
Industry,Industry,picklist,no,no,5,,
Type,Account Type,picklist,no,no,6,,
AnnualRevenue,Annual Revenue,currency,no,no,3,,
NumberOfEmployees,Employees,integer,no,no,2,,
BillingStreet,Billing Street,textarea,no,no,4,,
BillingCity,Billing City,string,no,no,4,,
BillingState,Billing State,string,no,no,4,,
BillingPostalCode,Billing Zip/Postal Code,string,no,no,4,,
BillingCountry,Billing Country,string,no,no,4,,
ParentId,Parent Account,reference,no,no,2,,
AccountSource,Account Source,picklist,no,no,3,,
Rating,Rating,picklist,no,no,2,,
OwnerId,Owner,reference,yes,no,10,,
