api_name,label,type,required,is_custom,usage,bu_usage,comment
Id,Case ID,id,yes,no,8,,
CaseNumber,Case Number,autonumber,yes,no,8,,
Subject,Subject,string,no,no,8,,
Description,Description,textarea,no,no,5,,
AccountId,Account,reference,no,no,8,,
ContactId,Contact,reference,no,no,8,,
Type,Type,picklist,no,no,6,,
Priority,Priority,picklist,no,no,7,,
Origin,Case Origin,picklist,no,no,6,,
Status,Status,picklist,yes,no,8,,
Reason,Case Reason,picklist,no,no,5,,
IsEscalated,Escalated,boolean,no,no,4,,
OwnerId,Owner,reference,yes,no,8,,
