api_name,label,type,required,is_custom,usage,bu_usage,comment
Id,Lead ID,id,yes,no,8,,
FirstName,First Name,string,no,no,6,,
LastName,Last Name,string,yes,no,8,,
Email,Email,email,no,no,7,,
Phone,Phone,phone,no,no,5,,
MobilePhone,Mobile,phone,no,no,3,,
Company,Company,string,yes,no,8,,
Title,Title,string,no,no,4,,
LeadSource,Lead Source,picklist,no,no,5,,
Status,Status,picklist,yes,no,8,,
Rating,Rating,picklist,no,no,3,,
Industry,Industry,picklist,no,no,4,,
AnnualRevenue,Annual Revenue,currency,no,no,2,,
IsConverted,Converted,boolean,no,no,4,,
OwnerId,Owner,reference,yes,no,8,,
