api_name,label,type,required,is_custom,usage,bu_usage,comment
Id,Opportunity ID,id,yes,no,10,,
Name,Opportunity Name,string,yes,no,10,,
AccountId,Account,reference,no,no,9,,
StageName,Stage,picklist,yes,no,10,,
CloseDate,Close Date,date,yes,no,10,,
Amount,Amount,currency,no,no,9,,
Probability,Probability (%),double,no,no,7,,
LeadSource,Lead Source,picklist,no,no,4,,
Type,Opportunity Type,picklist,no,no,5,,
Description,Description,textarea,no,no,3,,
ForecastCategory,Forecast Category,picklist,no,no,6,,
Pricebook2Id,Price Book,reference,no,no,4,,
OwnerId,Owner,reference,yes,no,10,,
